1994年1页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,1370,亡命天涯,,--,--,1994,数据纠错,
1994年2页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,1370,亡命天涯,,--,--,1994,数据纠错,
1995年1页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,691,真实的谎言,,--,--,1995,数据纠错,
2,725,红番区,,--,--,1995,数据纠错,
3,1007,阳光灿烂的日子,,--,--,1995,数据纠错,
4,1041,虎胆龙威3,,--,--,1995,数据纠错,
5,1109,狮子王(1994),,--,--,1995,数据纠错,
6,1129,红粉,,--,--,1995,数据纠错,
7,1128,红樱桃,,--,--,1995,数据纠错,
8,1153,生死时速,,--,--,1995,数据纠错,
9,1223,七七事变,,--,--,1995,数据纠错,
10,1228,绝地战警,,--,--,1995,数据纠错,
11,1553,阿甘正传,,--,--,1995,数据纠错,
1995年2页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,691,真实的谎言,,--,--,1995,数据纠错,
2,725,红番区,,--,--,1995,数据纠错,
3,1007,阳光灿烂的日子,,--,--,1995,数据纠错,
4,1041,虎胆龙威3,,--,--,1995,数据纠错,
5,1109,狮子王(1994),,--,--,1995,数据纠错,
6,1129,红粉,,--,--,1995,数据纠错,
7,1128,红樱桃,,--,--,1995,数据纠错,
8,1153,生死时速,,--,--,1995,数据纠错,
9,1223,七七事变,,--,--,1995,数据纠错,
10,1228,绝地战警,,--,--,1995,数据纠错,
11,1553,阿甘正传,,--,--,1995,数据纠错,
1996年1页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,782,简单任务,,--,--,1996,数据纠错,
2,961,龙卷风,,--,--,1996,数据纠错,
3,1001,断箭,,--,--,1996,数据纠错,
4,1032,勇闯夺命岛,,--,--,1996,数据纠错,
5,1031,勇敢者的游戏,,--,--,1996,数据纠错,
6,1065,碟中谍1,,--,--,1996,数据纠错,
7,1132,廊桥遗梦,,--,--,1996,数据纠错,
8,1182,孔繁森,,--,--,1996,数据纠错,
9,1214,未来水世界,,--,--,1996,数据纠错,
10,1233,极度恐慌,,--,--,1996,数据纠错,
11,1244,玩具总动员,,--,--,1996,数据纠错,
1996年2页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,782,简单任务,,--,--,1996,数据纠错,
2,961,龙卷风,,--,--,1996,数据纠错,
3,1001,断箭,,--,--,1996,数据纠错,
4,1032,勇闯夺命岛,,--,--,1996,数据纠错,
5,1031,勇敢者的游戏,,--,--,1996,数据纠错,
6,1065,碟中谍1,,--,--,1996,数据纠错,
7,1132,廊桥遗梦,,--,--,1996,数据纠错,
8,1182,孔繁森,,--,--,1996,数据纠错,
9,1214,未来水世界,,--,--,1996,数据纠错,
10,1233,极度恐慌,,--,--,1996,数据纠错,
11,1244,玩具总动员,,--,--,1996,数据纠错,
1997年1页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,823,侏罗纪公园4,,--,--,1997,数据纠错,
2,826,鸦片战争,,--,--,1997,数据纠错,
3,871,一个好人,,--,--,1997,数据纠错,
4,1033,天崩地裂,,--,--,1997,数据纠错,
5,1057,有话好好说,,--,--,1997,数据纠错,
6,1061,蒸发密令,,--,--,1997,数据纠错,
7,1127,大转折：挺进大别山,,--,--,1997,数据纠错,
8,1164,红河谷,,--,--,1997,数据纠错,
9,1183,甲方乙方,,--,--,1997,数据纠错,
10,1263,生死时速2,,--,--,1997,数据纠错,
11,1389,生死豪情,,--,--,1997,数据纠错,
1997年2页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,823,侏罗纪公园4,,--,--,1997,数据纠错,
2,826,鸦片战争,,--,--,1997,数据纠错,
3,871,一个好人,,--,--,1997,数据纠错,
4,1033,天崩地裂,,--,--,1997,数据纠错,
5,1057,有话好好说,,--,--,1997,数据纠错,
6,1061,蒸发密令,,--,--,1997,数据纠错,
7,1127,大转折：挺进大别山,,--,--,1997,数据纠错,
8,1164,红河谷,,--,--,1997,数据纠错,
9,1183,甲方乙方,,--,--,1997,数据纠错,
10,1263,生死时速2,,--,--,1997,数据纠错,
11,1389,生死豪情,,--,--,1997,数据纠错,
1998年1页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,274,泰坦尼克号,,--,--,1998,数据纠错,
2,767,拯救大兵瑞恩,,--,--,1998,数据纠错,
3,781,我是谁,,--,--,1998,数据纠错,
4,992,彗星撞地球,,--,--,1998,数据纠错,
5,1121,周恩来外交风云,,--,--,1998,数据纠错,
6,1122,小鬼当家3,,--,--,1998,数据纠错,
7,1388,红色恋人,,--,--,1998,数据纠错,
8,1539,风云雄霸天下,,--,--,1998,数据纠错,
9,1600,活火熔城,,--,--,1998,数据纠错,
10,1684,龙出升天,,--,--,1998,数据纠错,
1998年2页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,274,泰坦尼克号,,--,--,1998,数据纠错,
2,767,拯救大兵瑞恩,,--,--,1998,数据纠错,
3,781,我是谁,,--,--,1998,数据纠错,
4,992,彗星撞地球,,--,--,1998,数据纠错,
5,1121,周恩来外交风云,,--,--,1998,数据纠错,
6,1122,小鬼当家3,,--,--,1998,数据纠错,
7,1388,红色恋人,,--,--,1998,数据纠错,
8,1539,风云雄霸天下,,--,--,1998,数据纠错,
9,1600,活火熔城,,--,--,1998,数据纠错,
10,1684,龙出升天,,--,--,1998,数据纠错,
1999年1页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,1100,不见不散,,--,--,1999,数据纠错,
2,1224,星战前传1,,--,--,1999,数据纠错,
3,1280,一个都不能少,,--,--,1999,数据纠错,
4,1304,偷天陷阱,,--,--,1999,数据纠错,
5,1305,宝莲灯,,--,--,1999,数据纠错,
6,1387,尖峰时刻1,,--,--,1999,数据纠错,
7,1469,国家公敌,,--,--,1999,数据纠错,
8,1538,玻璃樽,,--,--,1999,数据纠错,
9,1912,花木兰(好莱坞动画版),,--,--,1999,数据纠错,
1999年2页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,1100,不见不散,,--,--,1999,数据纠错,
2,1224,星战前传1,,--,--,1999,数据纠错,
3,1280,一个都不能少,,--,--,1999,数据纠错,
4,1304,偷天陷阱,,--,--,1999,数据纠错,
5,1305,宝莲灯,,--,--,1999,数据纠错,
6,1387,尖峰时刻1,,--,--,1999,数据纠错,
7,1469,国家公敌,,--,--,1999,数据纠错,
8,1538,玻璃樽,,--,--,1999,数据纠错,
9,1912,花木兰(好莱坞动画版),,--,--,1999,数据纠错,
2000年1页年度排名,历史排名,电影名称,总票房,总人次,总场次,上映年份,操作,
1,620,生死抉择,,--,--,2000,数据纠错,
2,1222,没完没了,,--,--,2000,数据纠错,
3,1279,一声叹息,,--,--,2000,数据纠错,
4,1302,U-571,,--,--,2000,数据纠错,
5,1496,上海正午,,--,--,2000,数据纠错,
6,1497,将军的女儿,,--,--,2000,数据纠错,
7,1506,精灵鼠小弟,,--,--,2000,数据纠错,
8,1529,西点揭秘,,--,--,2000,数据纠错,
10,1543,完美风暴,,--,--,2000,数据纠错,
9,1542,角斗士,,--,--,2000,数据纠错,
11,1541,东京攻略,,--,--,2000,数据纠错,
