题目,A,B,C,D,正确答案,解析连接,图片名称,,,,,,,,,,,,
下列各组变化类型相同的是（ ）,干馏和分馏,裂化和裂解,煤的气化和海水的蒸馏,蛋白质的变性和盐析,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/399a287783daacc2a136cf59c722_11507924ex.png,cc2a136cf59c722_11507924ex.png,,,,,,,,,,,,
下列实验操作或实验事实与物质化学性质无关的是（ ）,氯水长时间放置酸性增强,漂白粉放置在空气中失效,用加热的方法分离碘和氯化钠固体,用氯水和四氯化碳鉴别Cl<sup>-</sup>、Br<sup>-</sup>、I<sup>-</su,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/60e154dee064c6ca251667f1c50e_13866080ex.png,6ca251667f1c50e_13866080ex.png,,,,,,,,,,,,
下列变化中，属于物理变化的是 （ ）,光合作用,牛奶变酸,铁熔化成“铁水”,木材燃烧,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/eab17cc57daed33f9a08393c480b_13910586ex.png,33f9a08393c480b_13910586ex.png,,,,,,,,,,,,
根据化学反应的实质是旧键断裂、新键形成的观点，下列变化没有发生化学键断裂的是（ ）,溴蒸气被活性炭吸附,电解水,HCl气体溶解于水,打雷放电时，O<sub>2</sub>变成O<sub>3</sub,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0dce877f6ca938c2641c0675c698_11569316ex.png,8c2641c0675c698_11569316ex.png,,,,,,,,,,,,
以下变化是化学变化的是（ ）,升华,潮解,风化,萃取,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/4fb937e5810fbee1e41a241a2ac0_16782047ex.png,ee1e41a241a2ac0_16782047ex.png,,,,,,,,,,,,
下列过程中，涉及化学变化的是 ( ),四氯化碳萃取碘水中的碘,生石灰被用作干燥剂后失效,过滤除去粗盐中的不溶性杂质,蒸馏法将海水淡化为饮用水,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/216aa4997176d358b7f744964f09_13866512ex.png,358b7f744964f09_13866512ex.png,,,,,,,,,,,,
从化学键的观点看，化学反应的实质是“旧键的断裂，新键的形成”，据此你认为下列变化属于化学反应的是（ ）,对空气进行降温加压,金刚石变成石墨,NaCl熔化,碘溶于CCl<sub>4</sub>中,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0cf7abe3329b49b56c92d5a8a5ec_794936ex.png,b49b56c92d5a8a5ec_794936ex.png,,,,,,,,,,,,
下列关于煤和石油的加工过程属于物理变化的是（ ）,煤的干馏,煤的汽化和液化,石油的分馏,石油的裂化和裂解,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/edfe7d7fa196df16fcd510f7e198_11569108ex.png,f16fcd510f7e198_11569108ex.png,,,,,,,,,,,,
在化学变化中，会发生变化的是（ ）,质子数,中子数,电子数,质量数,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/843e30618865ad7f916b6968e1b8_792070ex.png,5ad7f916b6968e1b8_792070ex.png,,,,,,,,,,,,
下列变化中，属于物理变化的是（ ）  ①石油的分馏②煤的干馏③石油的裂化④铝热反应⑤由乙烯变为聚乙烯⑥氧气转变为臭氧⑦乙烯催熟果实⑧苯遇溴水⑨海水蒸馏法制取淡水．,①②③④,①②⑤⑦,①⑧⑨,①②⑥⑨,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d69acc98973018eb2ad837f9a140_3652168ex.png,18eb2ad837f9a140_3652168ex.png,,,,,,,,,,,,
下列变化属于化学变化的是（ ）,碘的升华,金属的焰色反应,液溴的气化,漂白粉久置失效,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/904458692de9a1ef831716026bae_3430994ex.png,a1ef831716026bae_3430994ex.png,,,,,,,,,,,,
下列变化过程与化学反应无关的是( ),苯与溴水混合振荡后，溴水层接近无色,酸性高锰酸钾溶液中通入乙烯，溶液紫红色褪去,光照条件下甲烷与氯气混合气体的颜色变浅,苯乙烯使溴的四氯化碳溶液褪色,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/1027ae5947676c552556cc8ec2b0_11432722ex.png,c552556cc8ec2b0_11432722ex.png,,,,,,,,,,,,
下列变化中，属于物理变化的是（ ）,煤的干馏,石油的分馏,石油的裂解,蛋白质变性,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d204c0f927544408e7b78b5fb3e6_11432230ex.png,408e7b78b5fb3e6_11432230ex.png,,,,,,,,,,,,
下列物质的提纯方法可能属于化学变化的是 ）,蒸馏,渗析,过滤,洗气,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5dd88c4cf8d9dcf4053c645e8c30_3517510ex.png,dcf4053c645e8c30_3517510ex.png,,,,,,,,,,,,
下列变化不属于化学变化的是（ ）,石油分馏,煤干馏,石油裂解,皂化反应,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a2f25ebefa3592e4b32a450d1f14_11507572ex.png,2e4b32a450d1f14_11507572ex.png,,,,,,,,,,,,
