______ hunting animals and birds for food, Kooris gathered roots and nuts.,Because of,Except for,In addition,In addition to,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0310/37afc144f39a10179c29c437cb3f_1365043ex.png,43ex.png
I don’t think she is a nice woman; I am _____ her empty talk.,grateful for,tired of,crazy about,concerned about,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0310/40ec45b2dd997ca8909a08401c95_1365047ex.png,47ex.png
“I don’t agree,” she said, surprised at the ________ in her own voice.,ower,force,strength,energy,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0310/456b2aaeae190c47b8459a90a12c_1365044ex.png,44ex.png
The pop music ________ our enjoyment of the film.,added up to,added u,added to,added on,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0310/8b3a40496a6c62e8e604bfc2b01a_1365040ex.png,40ex.png
Have you _____ your things, Bob The train is leaving at 2:30 this afternoon, so we don’t have too much time.,added u,hidden away,set down,acked u,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0310/576efcd65c88d1c1fb300f53e458_1365050ex.png,50ex.png
The company I work for _______ a rough period.,looked for,searched for,went through,found out,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0310/f5095b231922fcf7c952338b6af1_1365039ex.png,39ex.png
I don’t think it was an accident at all. Your brother did it _____.,for purpose,in order,on purpose,out of order,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0310/d94a3a2cbcbf7570818005c577e3_1365045ex.png,45ex.png
Although she was frightened, she answered with a _____ voice.,quiet,calm,silent,still,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0310/2180ada28626efcf4494494eac55_1365041ex.png,41ex.png
_____ your classmates and you will make more good friends.,Worry about,Fall in love with,Think about,Get along well with,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0310/400168016a51520a675103ed701e_1365052ex.png,52ex.png
It is not a serious illness. I guess she will ______ soon.,remove,reduce,replace,recover,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0310/908ac912ce74914f01b52f73801d_1365048ex.png,48ex.png
The driver _____ the traffic lights and nearly caused a traffic accident.,ignored,checked,disliked,obeyed,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0310/921d22236200e3f598a64f231a81_1365051ex.png,51ex.png
You’d better have a talk with your friend _____, and then the misunderstanding will disappear.,side by side,hand in hand,face to face,arm in arm,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0310/1f75ff7b0f29c89ceebbcc72d904_1365053ex.png,53ex.png
